Page filename,Approx. section/context,Element / tag / attribute source,Text string,Character count,Suggested feedback owner,Status,Teammate comments,Priority,Extraction note
index.html,Body copy,p,"Connect travelers to a modern booking experience. Mobile-first, self-service, and policy controlled at the point of booking. Better tools drive better adoption.",160,,,,,
index.html,Body copy,span,Family,6,,,,,
index.html,Body copy,span,EXPERIENCE,10,,,,,
index.html,Body copy,span,02,2,,,,,
index.html,Body copy,h3,Agent Booking Tool,18,,,,,
index.html,Body copy,p,"Connect agents to every supplier in one search. Flights, hotels, rail, and ground transport through G-Link and F-Link. Negotiated rates surface at point of booking , not in a spreadsheet nobody opens.",200,,,,,
index.html,Body copy,span,OPERATE,7,,,,,
index.html,Body copy,span,03,2,,,,,
index.html,Body copy,h3,Atlas: TMC Operating System,27,,,,,
index.html,Body copy,p,"Connect every operational surface into one hub. Clients, queues, ticketing, duty of care, and reporting work from the same system. Teams move faster with less screen switching and less hidden operational knowledge.",214,,,,,
index.html,Body copy,span,04,2,,,,,
index.html,Body copy,h3,G-Link: Connect to Hotel Supply,31,,,,,
index.html,Body copy,p,"Duplicate properties. Mismatched room types. Stale rates from six different sources. G-Link resolves all of it into one clean, deduplicated, bookable feed. Property-level and room-level deduplication. Negotiated-rate layering per client.",237,,,,,
index.html,Body copy,span,Layer,5,,,,,
index.html,Body copy,span,SUPPLY / HOTEL,14,,,,,
index.html,Body copy,span,05,2,,,,,
index.html,Body copy,h3,F-Link: Connect to Flight Supply,32,,,,,
index.html,Body copy,p,NDC changed distribution. LCCs went direct. GDS content alone isn't enough anymore. F-Link connects it all into one standardized feed. Fare-family normalization. Ancillary management. PNR reconciliation. Policy-aware filtering at the supply layer.,247,,,,,
index.html,Body copy,span,SUPPLY / FLIGHT,15,,,,,
index.html,section - Open connections vs. closed platforms.,div,Connected Network,17,,,,,
index.html,section - Open connections vs. closed platforms.,h2,Open connections vs. closed platforms.,38,,,,,
index.html,section - Open connections vs. closed platforms.,p,"Connect to one piece or the whole stack. Keep your existing systems where they work. The inventory stays constant, and the connection stays flexible.",149,,,,,
index.html,section - Open connections vs. closed platforms.,span,99.9%,5,,,,,
index.html,header - The inventory that everything connects to.,div,300+ Partners Connected,23,,,,,
index.html,header - The inventory that everything connects to.,h1,The inventory that everything connects to.,42,,,,,
index.html,header - The inventory that everything connects to.,p,"G-Link and F-Link are the inventory and content layer behind every booking for builders, TMCs, and corporate travel programs.",125,,,,,
index.html,main - The inventory that everything connects to.,h3,G-Link & F-Link,15,,,,,
index.html,main - The inventory that everything connects to.,p,One connection to 1M+ hotel properties and every major airline . The supply layer everything connects to.,105,,,,,
index.html,main - The inventory that everything connects to.,h3,Deduplicated Content,20,,,,,
index.html,main - The inventory that everything connects to.,p,Property-level and room-level deduplication. Clean content. Accurate rates. Not three listings for the same hotel.,114,,,,,
index.html,main - The inventory that everything connects to.,h3,Commercially Connected,22,,,,,
index.html,main - The inventory that everything connects to.,p,Negotiated rates layered per client. Markup and remit logic built into the supply layer. Rates flow from negotiation to booking automatically.,142,,,,,
index.html,main - The inventory that everything connects to.,span,Active,6,,,,,
index.html,main - The inventory that everything connects to.,h3,Connect,7,,,,,
index.html,main - The inventory that everything connects to.,p,"API, AI Booking, Whitelabel. For builders & platforms.",54,,,,,
index.html,main - The inventory that everything connects to.,span,Coverage,8,,,,,
index.html,main - The inventory that everything connects to.,span,99.9%,5,,,,,
index.html,main - The inventory that everything connects to.,h3,Operate,7,,,,,
index.html,main - The inventory that everything connects to.,p,"Atlas, Agent Booking, Advisory. For TMCs & operators.",53,,,,,
index.html,main - The inventory that everything connects to.,span,Live,4,,,,,
index.html,main - The inventory that everything connects to.,h3,Experience,10,,,,,
index.html,main - The inventory that everything connects to.,p,"Corporate Booking, AgreeEase, AI Mapping. For corporates.",57,,,,,
index.html,main - The inventory that everything connects to.,span,Latency,7,,,,,
index.html,main - The inventory that everything connects to.,span,12,2,,,,,
index.html,main - The inventory that everything connects to.,span,ms,2,,,,,
index.html,Footer (shared),div,Get Started,11,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),h2,> Ready to modernize?,21,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),p,"Address supplier fragmentation, rate complexity, and legacy infrastructure one module at a time. No full system replacement. No multi-year migrations.",150,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),button,Book a demo,11,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),button,Schedule a Call,15,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),p,TRAVEL_INFRASTRUCTURE,21,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),span,Platform,8,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),a,API Access,10,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),a,AI Booking Tool,15,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),a,Atlas TMC OS,12,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),a,Agent Booking Tool,18,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),a,Corporate Booking Tool,22,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),a,AgreeEase,9,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),span,Solutions,9,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),a,Whitelabel,10,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),a,Advisory & Implementation,25,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),a,AI Mapping,10,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),span,Company,7,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),a,About,5,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),a,Contact,7,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),span,Connect,7,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),a,Privacy Policy,14,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),a,Terms of Service,16,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Footer (shared),span,© 2026 FCG Group. All rights reserved.,38,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
about.html,Head metadata,title,About FCG Group - Travel Infrastructure Story,45,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,h1,The infrastructure behind how travel actually works,51,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,p,"FCG Group builds the supply, booking, payment, data quality, AI workflow, and operating infrastructure that travel companies connect to. From hotel sourcing and rate management to agent tools, corporate booking, reconciliation, and clean content, we handle the layers that make everything else possible. Asia-native. Globally connected. Est. 2013.",347,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,p,"Built by operators, for operators",33,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,p,"FCG started inside a working TMC, not a venture studio. Every product traces back to a real operational problem: fragmented supply, disconnected tools, manual rate workflows, payment and reconciliation friction, data quality gaps, and the gap between what corporate clients expect and what most travel companies can deliver.",324,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,a,Discover more,13,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,p,"300+ travel brands, TMCs, and hotel groups. Already connected.",62,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,img[alt],Arc,3,,,,,UX/accessibility attribute
about.html,section #capabilities - The infrastructure behind how travel actually works,img[alt],Descript,8,,,,,UX/accessibility attribute
about.html,section #capabilities - The infrastructure behind how travel actually works,img[alt],Mercury,7,,,,,UX/accessibility attribute
about.html,section #capabilities - The infrastructure behind how travel actually works,img[alt],Ramp,4,,,,,UX/accessibility attribute
about.html,section #capabilities - The infrastructure behind how travel actually works,img[alt],Retool,6,,,,,UX/accessibility attribute
about.html,section #capabilities - The infrastructure behind how travel actually works,img[alt],Watershed,9,,,,,UX/accessibility attribute
about.html,section #capabilities - The infrastructure behind how travel actually works,h2,Scale that earns the claim,26,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,p,"These are not projections. This is infrastructure in production: supply flowing, bookings clearing, payments reconciling, data standardizing, and operations running across Asia-Pacific and beyond.",196,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,p,Properties Connected,20,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,span,1M+,3,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,p,Annual Volume,13,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,span,$500M+,6,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,p,Brands Connected,16,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,span,300+,4,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,p,Offices Across APAC & London,28,,,,,
about.html,section #capabilities - The infrastructure behind how travel actually works,span,10,2,,,,,
about.html,section #about-ecosystem - Asia-native. Globally connected.,img[alt],Abstract platform interface gradient,36,,,,,UX/accessibility attribute
about.html,section #about-ecosystem - Asia-native. Globally connected.,img[alt],Abstract dark gradient card image,33,,,,,UX/accessibility attribute
about.html,section #about-ecosystem - Asia-native. Globally connected.,h3,Asia-native. Globally connected.,32,,,,,
about.html,section #about-ecosystem - Asia-native. Globally connected.,p,"Founded in 2013, headquartered in Singapore, with offices across Hong Kong, Shenzhen, Beijing, Shanghai, Taipei, Kuala Lumpur, Bangkok, Ho Chi Minh City, and London. Real supply depth where it matters, built for the region and connected globally.",246,,,,,
about.html,section #about-ecosystem - Asia-native. Globally connected.,a,Learn More,10,,,,,
about.html,section #about-ecosystem - Asia-native. Globally connected.,img[alt],Abstract gradient supporting card,33,,,,,UX/accessibility attribute
about.html,section #about-ecosystem - Asia-native. Globally connected.,h3,"Open connections, not locked platforms",38,,,,,
about.html,section #about-ecosystem - Asia-native. Globally connected.,p,"Connect to one product or the whole stack. Layer by layer or end to end. The supply stays constant, the connection stays flexible, and FCG does not compete with its customers.",175,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",section[aria-label],Office locations,16,,,,,UX/accessibility attribute
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",h2,"Asia-Native, Globally-Ready",27,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",p,Built in the region with the world's fastest-growing business travel market. Real supply depth across APAC. Multi-language operations. Understanding of regulatory and currency complexity that breaks single-region platforms.,223,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",button,Singapore (SIN),15,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",img[alt],Singapore city placeholder,26,,,,,UX/accessibility attribute
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",span,Office Location,15,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",h3,"138 Robinson Road, Oxley Tower, 28-04, Singapore",48,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",p,Singapore office for regional travel infrastructure and operator support.,73,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",button,Hong Kong (HKG),15,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",img[alt],Hong Kong city placeholder,26,,,,,UX/accessibility attribute
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",h3,"Unit 4813, 48/F, The Center, 99 Queen's Road Central, Central, Hong Kong",72,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",p,Hong Kong office for commercial relationships and cross-market operations.,74,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",button,Malaysia (KUL),14,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",img[alt],Kuala Lumpur city placeholder,29,,,,,UX/accessibility attribute
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",h3,"The Ascent Paradigm, Level 21, No. 1, SS7/26A, 47301, Kuala Lumpur",66,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",p,Malaysia office for Southeast Asia service delivery and partner coordination.,77,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",button,"Suzhou, China (SZV)",19,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",img[alt],Suzhou city placeholder,23,,,,,UX/accessibility attribute
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",h3,"No. 381 Suzhou Avenue East, Shanglü Building, Room 508, Suzhou Industrial Park, Suzhou City, Jiangsu Province, People's Republic of China",137,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",p,"Suzhou office for China market coverage, partner support, and local coordination.",81,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",button,"Shenzhen, China (SZX)",21,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",img[alt],Shenzhen city placeholder,25,,,,,UX/accessibility attribute
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",h3,"No. 51 Meilong Avenue, Minzhi Street, Baoshan Times Building Room 2016, Longhua District, Shenzhen City, Guangdong Province, People's Republic of China",151,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",p,Shenzhen office supporting technology delivery and supplier connectivity.,73,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",button,Taiwan (TPE),12,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",img[alt],Taipei city placeholder,23,,,,,UX/accessibility attribute
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",h3,"Section 4 Ren'ai Road, No. 33, 11 Floor, Room 1, Taipei City, Taiwan",68,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",p,Taiwan office for local operations and customer support coverage.,65,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",button,"Bangkok, Thailand (BKK)",23,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",img[alt],Bangkok city placeholder,24,,,,,UX/accessibility attribute
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",h3,"8 T-One Building Unit 1, Floor 28, Soi Sukhumvit 40, Phra Kanong Sub-District, Klongtoey District, Bangkok 10110",112,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",p,"Bangkok office for regional operations, product localization, and customer support.",83,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",button,"Ho Chi Minh, Vietnam (SGN)",26,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",img[alt],Ho Chi Minh City placeholder,28,,,,,UX/accessibility attribute
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",h3,"Lim Tower 3, 29A Nguyễn Đình Chiểu, Đa Kao, Quận 1, Hồ Chí Minh, Vietnam",72,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",p,Ho Chi Minh office for Vietnam market coverage and operational support.,71,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",button,"London, UK (LHR)",16,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",img[alt],London city placeholder,23,,,,,UX/accessibility attribute
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",h3,"10 York Rd, London SE1 7ND, United Kingdom",42,,,,,
about.html,"section .feature-accordion-section - Asia-Native, Globally-Ready",p,London office for international relationships and global travel market support.,79,,,,,
atlas.html,Head metadata,title,Atlas - TMC Operating System | FCG Group,40,,,,,
atlas.html,section #capabilities - Run every TMC workflow from one hub.,div,TMC OS,6,,,,,
atlas.html,section #capabilities - Run every TMC workflow from one hub.,h1,Run every TMC workflow from one hub.,36,,,,,
atlas.html,section #capabilities - Run every TMC workflow from one hub.,p,"Atlas is the operating system for independent TMCs. It connects clients, queues, ticketing, duty of care, reporting, integrations, payment visibility, and service workflows in one infrastructure layer, so teams can modernize operations without giving up independence.",267,,,,,
atlas.html,section #capabilities - Run every TMC workflow from one hub.,a,See Atlas in action,19,,,,,
atlas.html,section #capabilities - Run every TMC workflow from one hub.,a,Explore modules,15,,,,,
atlas.html,section #capabilities - Run every TMC workflow from one hub.,img[alt],"Atlas TMC OS dashboard showing clients, tickets, bookings, incidents, and operational activity",94,,,,,UX/accessibility attribute
atlas.html,section #decision-paths - Three reasons TMC operators start an Atlas conversation.,div,Pain Points,11,,,,,
atlas.html,section #decision-paths - Three reasons TMC operators start an Atlas conversation.,h2,Three reasons TMC operators start an Atlas conversation.,56,,,,,
atlas.html,article .product-card - Operations don't scale,div,Pain 01,7,,,,,
atlas.html,article .product-card - Operations don't scale,h3,Operations don't scale,22,,,,,
atlas.html,article .product-card - Operations don't scale,p,"Every new client means more agent hours, more manual reporting, and more margin compression. Growth creates operational drag instead of leverage.",145,,,,,
atlas.html,article .product-card - Operations don't scale,div,Atlas module,12,,,,,
atlas.html,article .product-card - Operations don't scale,div,OpsHub + Reports,16,,,,,
atlas.html,article .product-card - Operations don't scale,p,"One connected surface for client CRM, booking pipeline, agent queues, and branded analytics eliminates weekend spreadsheet assembly.",132,,,,,
atlas.html,article .product-card - Agents toggle between six screens,div,Pain 02,7,,,,,
atlas.html,article .product-card - Agents toggle between six screens,h3,Agents toggle between six screens,33,,,,,
atlas.html,article .product-card - Agents toggle between six screens,p,"GDS terminals, CRM tabs, email inboxes, spreadsheets, duty of care PDFs, and supplier portals. Every booking requires context-switching across disconnected tools.",162,,,,,
atlas.html,article .product-card - Agents toggle between six screens,div,Atlas module,12,,,,,
atlas.html,article .product-card - Agents toggle between six screens,div,Inbox + FlowConnect,19,,,,,
atlas.html,article .product-card - Agents toggle between six screens,p,"Unified ticketing with SLA enforcement and an integration fabric connecting GDS, suppliers, finance, HR, and SSO into one workflow.",131,,,,,
atlas.html,article .product-card - Duty of care is a bolt-on PDF,div,Pain 03,7,,,,,
atlas.html,article .product-card - Duty of care is a bolt-on PDF,h3,Duty of care is a bolt-on PDF,29,,,,,
atlas.html,article .product-card - Duty of care is a bolt-on PDF,p,"Real-time traveler visibility doesn't exist. Incidents are discovered after the client complains. Risk management is reactive, not operational.",143,,,,,
atlas.html,article .product-card - Duty of care is a bolt-on PDF,div,Atlas module,12,,,,,
atlas.html,article .product-card - Duty of care is a bolt-on PDF,div,DutyView,8,,,,,
atlas.html,article .product-card - Duty of care is a bolt-on PDF,p,"Real-time traveler tracking with every incident surfaced proactively. Connected to every booking, not buried in a static report.",128,,,,,
atlas.html,"section #product-map - Five modules, one connected operating surface.",div,Module Map,10,,,,,
atlas.html,"section #product-map - Five modules, one connected operating surface.",h2,"Five modules, one connected operating surface.",46,,,,,
atlas.html,"section #product-map - Five modules, one connected operating surface.",p,"Each module solves a specific operational pain. Together, they replace the duct tape holding your TMC infrastructure together: service queues, supplier connections, traveler visibility, reporting, and financial handoffs.",220,,,,,
atlas.html,article .product-card - OpsHub,div,Module 01,9,,,,,
atlas.html,article .product-card - OpsHub,h3,OpsHub,6,,,,,
atlas.html,article .product-card - OpsHub,p,"Client CRM, booking pipeline, and agent queues in one connected surface. Everything visible, everything linked.",111,,,,,
atlas.html,article .product-card - OpsHub,li,"Client profiles, travel policies, and booking history in one view",65,,,,,
atlas.html,article .product-card - OpsHub,li,Agent queue management with workload visibility,47,,,,,
atlas.html,article .product-card - OpsHub,li,Booking pipeline from request through to confirmation,53,,,,,
atlas.html,article .product-card - Inbox,div,Module 02,9,,,,,
atlas.html,article .product-card - Inbox,h3,Inbox,5,,,,,
atlas.html,article .product-card - Inbox,p,Unified ticketing with SLA enforcement across every channel. No request lost. No breach discovered after the client complains.,126,,,,,
atlas.html,article .product-card - Inbox,li,"Multi-channel request capture: email, chat, phone, portal",57,,,,,
atlas.html,article .product-card - Inbox,li,SLA timers with escalation rules and breach alerts,50,,,,,
atlas.html,article .product-card - Inbox,li,Full audit trail from request to resolution,43,,,,,
atlas.html,article .product-card - FlowConnect,div,Module 03,9,,,,,
atlas.html,article .product-card - FlowConnect,h3,FlowConnect,11,,,,,
atlas.html,article .product-card - FlowConnect,p,"GDS, suppliers, finance, HR, SSO, payment data, CRM, and reporting. One connected fabric that replaces duct-taped operations.",125,,,,,
atlas.html,article .product-card - FlowConnect,li,Pre-built connectors for major GDS and supplier systems,55,,,,,
atlas.html,article .product-card - FlowConnect,li,Finance and HR system integration for reconciliation,52,,,,,
atlas.html,article .product-card - FlowConnect,li,SSO and identity management across the TMC stack,48,,,,,
atlas.html,article .product-card - DutyView,div,Module 04,9,,,,,
atlas.html,article .product-card - DutyView,h3,DutyView,8,,,,,
atlas.html,article .product-card - DutyView,p,"Real-time traveler tracking with incidents surfaced proactively. Duty of care becomes an operational workflow, not a static report.",131,,,,,
atlas.html,article .product-card - DutyView,li,Live traveler location and itinerary tracking,45,,,,,
atlas.html,article .product-card - DutyView,li,Incident alerting connected to booking and client data,54,,,,,
atlas.html,article .product-card - DutyView,li,Risk dashboard for client reporting and compliance,50,,,,,
